Team, Wins, Losses
Eagles, 8, 4
Cowboys, 6, 6
Commanders, 3, 10
Giants, 2, 11
Buccaneers, 7, 6
Panthers, 7, 6
Falcons, 4, 9
Saints, 3, 10
Rams, 10, 3
Seahawks, 10, 3
49ers, 9, 4
Cardinals, 3, 10
Packers, 9, 3
Bears, 9, 4
Lions, 8, 5
Vikings, 5, 8
Broncos, 11, 2
Chargers, 8, 4
Chiefs, 6, 7
Raiders, 2, 11
Patriots, 11, 2
Bills, 9, 4
Dolphins, 6, 7
Jets, 3, 10
Jaguars, 9, 4
Texans, 8, 5
Colts, 8, 5
Titans, 2, 11
Steelers, 7, 6
Ravens, 6, 7
Bengals, 4, 9
Browns, 3, 10
